City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anadyr,64.75,177.4833,5.28,86,75,5.81,RU,1727793048
83,chibougamau,49.9168,-74.3659,15.27,60,0,5.99,CA,1727793049
84,dhidhdhoo,6.8833,73.1,28.18,76,100,1.89,MV,1727793050
85,tura,25.5198,90.2201,24.0,94,30,0.85,IN,1727793052
86,codrington,-38.2667,141.9667,8.61,92,75,1.97,AU,1727793053
87,talavera,15.6167,120.9333,24.14,95,100,1.44,PH,1727793054
88,crane,31.3974,-102.3501,24.31,33,0,5.94,US,1727793056
89,badger,64.8,-147.5333,0.0,80,20,2.57,US,1727793057
90,edinburgh of the seven seas,-37.0676,-12.3116,13.63,82,43,8.53,SH,1727793058
91,susuman,62.7833,148.1667,-4.84,88,96,1.31,RU,1727793059
92,christchurch,-43.5333,172.6333,10.18,80,60,0.51,NZ,1727793000
93,bredasdorp,-34.5322,20.0403,13.88,58,95,4.0,ZA,1727793062
94,birjand,32.8663,59.2211,26.26,15,20,3.09,IR,1727793063
95,sinop,41.7711,34.8709,15.24,83,100,1.76,TR,1727793064
96,mana,5.6592,-53.7767,31.63,57,26,2.78,GF,1727793065
97,revda,56.801,59.9303,5.48,56,2,2.15,RU,1727793067
98,cassia,-20.5831,-46.9219,35.16,19,0,1.82,BR,1727793068
99,riti,7.9167,9.6167,30.3,66,92,2.56,NG,1727793069
100,hamilton,39.1834,-84.5333,20.47,96,100,1.54,US,1727793003
101,inongo,-1.95,18.2667,27.47,65,40,2.04,CD,1727793071
102,carnarvon,-24.8667,113.6333,19.36,65,17,5.76,AU,1727793073
103,island harbour,50.724,-1.2758,15.82,60,100,3.13,GB,1727793074
104,shenkursk,62.1091,42.896,5.26,66,36,2.26,RU,1727793075
105,happy valley-goose bay,53.3168,-60.3315,8.17,81,40,1.54,CA,1727793076
106,tiksi,71.6872,128.8694,-8.2,93,100,1.78,RU,1727793081
107,nosivka,50.9315,31.5828,19.3,23,100,2.09,UA,1727793082
108,mount gambier,-37.8333,140.7667,7.54,96,13,0.57,AU,1727793010
109,belmonte,-15.8631,-38.8828,25.59,72,54,3.92,BR,1727793085
110,camayenne,9.535,-13.6878,30.05,74,75,3.09,GN,1727793087
111,brody,50.0879,25.1503,8.7,80,100,3.13,UA,1727793088
112,fisterra,42.9049,-9.2629,21.53,99,100,4.19,ES,1727793090
113,vorgashor,67.5833,63.95,2.38,96,100,11.27,RU,1727793091
114,uliastay,47.7417,96.8444,2.22,65,6,1.23,MN,1727793051
